stream,src_mac,dst_mac,src_ip,dst_ip,src_port,dst_port,inter_arrival_time,time_since_previously_displayed_frame,port_class_dst,l4_tcp,l4_udp,ttl,eth_size,tcp_window_size,payload_entropy,handshake_version,handshake_cipher_suites_length,handshake_ciphersuites,handshake_extensions_length,tls_server,handshake_sig_hash_alg_len,http_request_method,http_host,http_response_code,user_agent,dns_server,dns_query_type,dns_len_qry,dns_interval,dns_len_ans,device_mac,eth_src_oui,eth_dst_oui,payload_length,highest_layer,http_uri,http_content_len,http_content_type,icmp_type,icmp_checksum_status,icmp_data_size,jitter,stream_1_count,stream_1_mean,stream_1_var,src_ip_1_count,src_ip_1_mean,src_ip_1_var,src_ip_mac_1_count,src_ip_mac_1_mean,src_ip_mac_1_var,channel_1_count,channel_1_mean,channel_1_var,stream_jitter_1_sum,stream_jitter_1_mean,stream_jitter_1_var,stream_5_count,stream_5_mean,stream_5_var,src_ip_5_count,src_ip_5_mean,src_ip_5_var,src_ip_mac_5_count,src_ip_mac_5_mean,src_ip_mac_5_var,channel_5_count,channel_5_mean,channel_5_var,stream_jitter_5_sum,stream_jitter_5_mean,stream_jitter_5_var,stream_10_count,stream_10_mean,stream_10_var,src_ip_10_count,src_ip_10_mean,src_ip_10_var,src_ip_mac_10_count,src_ip_mac_10_mean,src_ip_mac_10_var,channel_10_count,channel_10_mean,channel_10_var,stream_jitter_10_sum,stream_jitter_10_mean,stream_jitter_10_var,stream_30_count,stream_30_mean,stream_30_var,src_ip_30_count,src_ip_30_mean,src_ip_30_var,src_ip_mac_30_count,src_ip_mac_30_mean,src_ip_mac_30_var,channel_30_count,channel_30_mean,channel_30_var,stream_jitter_30_sum,stream_jitter_30_mean,stream_jitter_30_var,stream_60_count,stream_60_mean,stream_60_var,src_ip_60_count,src_ip_60_mean,src_ip_60_var,src_ip_mac_60_count,src_ip_mac_60_mean,src_ip_mac_60_var,channel_60_count,channel_60_mean,channel_60_var,stream_jitter_60_sum,stream_jitter_60_mean,stream_jitter_60_var,ntp_interval,most_freq_spot,min_et,q1,min_e,var_e,q1_e,sum_p,min_p,max_p,med_p,average_p,var_p,q3_p,q1_p,iqr_p,l3_ip_dst_count,label,attack_type,binary_label
284021,dc:a6:32:c9:e4:90,LampUX RGB,192.168.137.227,192.168.137.87,27571,23974,65.290814,6.4e-05,2,0,1,64,578,0,3.5750813937308497,-1,0,-1,0,none,0,none,none,0,none,none,,0,0.0,0,dc:a6:32:c9:e4:90,Raspberry Pi Trading Ltd,Espressif Inc.,512.0,UDP,none,0.0,none,-1.0,-1.0,-1.0,,1.0,578.0,,1949.0,578.0,0.0,1949.0,578.0,0.0,1957.0,575.9233520694942,1051.161811252775,,,,1.0,578.0,,8017.0,578.0,0.0,8017.0,578.0,0.0,8028.0,577.3039362232188,353.15988484058096,,,,1.0,578.0,,8017.0,578.0,0.0,8017.0,578.0,0.0,8028.0,577.3039362232188,353.15988484058096,,,,1.0,578.0,,8469.0,578.0,0.0,8469.0,578.0,0.0,8480.0,577.3410377358491,334.35802793588147,,,,1.0,578.0,,73023.0,578.0,0.0,73023.0,578.0,0.0,73082.0,577.589885334282,208.17290462964297,,,,0.0,8886.0,544.0,544.0,578.0,0.0,578.0,10720.0,536.0,536.0,536.0,536.0,0.0,536.0,536.0,0.0,67.0,2.0,Mirai-greip_flood11.csv,1.0
709,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,99.81.57.97,192.168.137.175,443,36712,1729.361803,0.00087,2,1,0,231,66,681984,0.0,-1,0,-1,0,none,0,none,none,0,none,none,,0,0.0,0,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear,0.0,TCP,none,0.0,none,-1.0,-1.0,-1.0,0.00087,325.0,1264.6492307692308,1413098.0741120605,113.0,66.0,0.0,113.0,66.0,0.0,325.0,1264.6492307692308,1413098.0741120605,1.28175,0.0039438461538461,0.0009912282452331,355.0,1202.7661971830985,1371998.2587411464,125.0,94.064,39875.67329032259,125.0,94.064,39875.67329032259,355.0,1202.7661971830985,1371998.2587411464,1369.179986,3.856845030985915,5264.970754713532,355.0,1202.7661971830985,1371998.2587411464,125.0,94.064,39875.67329032259,125.0,94.064,39875.67329032259,355.0,1202.7661971830985,1371998.2587411464,1369.179986,3.856845030985915,5264.970754713532,355.0,1202.7661971830985,1371998.2587411464,125.0,94.064,39875.67329032259,125.0,94.064,39875.67329032259,355.0,1202.7661971830985,1371998.2587411464,1369.179986,3.856845030985915,5264.970754713532,355.0,1202.7661971830985,1371998.2587411464,125.0,94.064,39875.67329032259,125.0,94.064,39875.67329032259,355.0,1202.7661971830985,1371998.2587411464,1369.179986,3.856845030985915,5264.970754713532,0.0,443.0,32.0,32.0,66.0,0.0,66.0,240.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,47.0,0.0,BenignTraffic2.csv,0.0
89234,dc:a6:32:c9:e4:ab,Teckin Plug 2,192.168.137.240,192.168.137.111,20488,6668,60156.619841,0.000228,2,1,0,64,60,512,0.0,-1,0,-1,0,none,0,none,none,0,none,none,,0,0.0,0,dc:a6:32:c9:e4:ab,Raspberry Pi Trading Ltd,Tuya Smart Inc.,0.0,TCP,none,0.0,none,-1.0,-1.0,-1.0,,1.0,60.0,,2542.0,60.0,0.0,2542.0,60.0,0.0,2542.0,60.0,0.0,,,,1.0,60.0,,13084.0,60.0,0.0,13084.0,60.0,0.0,13084.0,60.0,0.0,,,,1.0,60.0,,23867.0,60.0,0.0,23867.0,60.0,0.0,23867.0,60.0,0.0,,,,1.0,60.0,,23867.0,60.0,0.0,23867.0,60.0,0.0,23867.0,60.0,0.0,,,,1.0,60.0,,23867.0,60.0,0.0,23867.0,60.0,0.0,23867.0,60.0,0.0,,,,0.0,2773.0,26.0,26.0,60.0,0.0,60.0,120.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,2.0,3.0,DDoS-TCP_Flood10.csv,1.0
0,Nest Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.46,35.185.101.66,41206,443,937.54534,0.009321,1,1,0,64,156,2881,3.5589822867646723,-1,0,-1,0,none,0,none,none,0,none,none,,0,0.0,0,Nest Indoor Camera,"Google, Inc.",Luxshare Precision Industry Company Limited,90.0,TLS,none,0.0,none,-1.0,-1.0,-1.0,0.056639,32.0,578.4375,452906.25403225806,18.0,972.0,450582.1176470587,18.0,972.0,450582.1176470587,32.0,578.4375,452906.25403225806,1.036522,0.0323913125,0.0009578508894009,97.0,268.5154639175258,195933.9398625432,50.0,454.12,310734.92408163147,50.0,454.12,310734.92408163147,96.0,269.0833333333333,197964.79298245616,5.035603,0.0519134329896907,0.0009950001141579,183.0,196.2622950819672,110370.21653756108,93.0,318.1720430107527,187247.013557737,93.0,318.1720430107527,187247.013557737,181.0,196.06629834254144,111593.01780233288,10.042621,0.0548777103825136,0.0008364121958928,506.0,197.8379446640316,159891.498438539,255.0,323.06666666666666,285563.6136482937,255.0,323.06666666666666,285563.6136482937,500.0,197.644,161810.86298997916,30.000082,0.059288699604743,0.0013139472487297,897.0,189.33779264214047,132266.19045628197,448.0,307.98214285714283,236285.7088526692,448.0,307.98214285714283,236285.7088526692,885.0,189.00338983050847,134053.29071247813,60.045665,0.0669405406911928,0.0060675714040074,0.0,41206.0,32.0,32.0,66.0,518394.7368421053,66.0,14780.0,12.0,1610.0,761.0,739.0,518394.7368421053,1420.0,12.0,1408.0,2.0,0.0,BenignTraffic2.csv,0.0
229848,dc:a6:32:c9:e5:ef,LampUX RGB,192.168.137.158,192.168.137.87,62297,34682,51.637645,0.000115,2,0,1,64,578,0,3.582367906678651,-1,0,-1,0,none,0,none,none,0,none,none,,0,0.0,0,dc:a6:32:c9:e5:ef,Raspberry Pi Trading Ltd,Espressif Inc.,512.0,UDP,none,0.0,none,-1.0,-1.0,-1.0,,1.0,578.0,,4082.0,578.0,0.0,4082.0,578.0,0.0,4082.0,578.0,0.0,,,,1.0,578.0,,14707.0,578.0,0.0,14707.0,578.0,0.0,14707.0,578.0,0.0,,,,1.0,578.0,,28489.0,578.0,0.0,28489.0,578.0,0.0,28489.0,578.0,0.0,,,,1.0,578.0,,40764.0,578.0,0.0,40764.0,578.0,0.0,40764.0,578.0,0.0,,,,1.0,578.0,,45503.0,578.0,0.0,45503.0,578.0,0.0,45516.0,577.854908164162,73.68721989489471,,,,0.0,8886.0,544.0,544.0,578.0,0.0,578.0,10720.0,536.0,536.0,536.0,536.0,0.0,536.0,536.0,0.0,61.0,2.0,Mirai-greip_flood11.csv,1.0
0,3c:18:a0:41:c3:a0,Nest Indoor Camera,35.185.101.66,192.168.137.46,443,41206,2173.308563,0.012419,2,1,0,59,66,607,0.0,-1,0,-1,0,none,0,none,none,0,none,none,,0,0.0,0,Nest Indoor Camera,Luxshare Precision Industry Company Limited,"Google, Inc.",0.0,TCP,none,0.0,none,-1.0,-1.0,-1.0,0.039686,18.0,111.88888888888889,2243.045751634227,9.0,66.0,0.0,9.0,66.0,0.0,18.0,111.88888888888889,2243.045751633228,1.0276519999999998,0.0570917777777777,0.0003577115757124,89.0,112.87640449438204,2219.086823290998,44.0,66.0,0.0,44.0,66.0,0.0,88.0,111.72727272727272,2125.71786833765,5.025231,0.0564632696629213,0.0004401535008199,194.0,184.43298969072168,120812.16388013524,94.0,67.74468085106383,142.9018531228549,94.0,67.74468085106383,142.9018531228549,192.0,184.125,122067.96335078284,10.062443,0.0518682628865979,0.0005546691701878,500.0,140.86,49327.09058116024,245.0,66.66938775510204,55.1894279023084,245.0,66.66938775510204,55.1894279023084,494.0,139.97165991902833,49861.52455018028,30.042716,0.0600854319999999,0.0043227010722732,1039.0,139.29355149181904,46055.04958265385,509.0,66.49901768172889,42.419782497718266,509.0,66.49901768172889,42.419782497718266,1027.0,138.42064264849074,46527.66694188736,60.006179,0.0577537815206929,0.0023345375742843,0.0,41206.0,32.0,32.0,66.0,2220.168421052632,66.0,1156.0,12.0,118.0,57.0,57.8,2220.168421052632,102.0,12.0,90.0,2.0,0.0,BenignTraffic2.csv,0.0
303,dc:a6:32:dc:27:d5,Yutron Plug 2,192.168.137.198,192.168.137.88,40542,63876,11.148256,2e-06,3,0,1,64,60,0,1.5775967043075598,-1,0,-1,0,none,0,none,none,0,none,none,,0,0.0,0,dc:a6:32:dc:27:d5,Raspberry Pi Trading Ltd,Tuya Smart Inc.,8.0,UDP,none,0.0,none,-1.0,-1.0,-1.0,2e-06,455.0,60.0,0.0,7757.0,60.0,0.0,7757.0,60.0,0.0,7757.0,60.0,0.0,0.023455,5.166299559471366e-05,1.651257532192803e-07,455.0,60.0,0.0,29255.0,60.0,0.0,29255.0,60.0,0.0,29255.0,60.0,0.0,0.023455,5.166299559471366e-05,1.651257532192803e-07,455.0,60.0,0.0,53368.0,60.0,0.0,53368.0,60.0,0.0,53368.0,60.0,0.0,0.023455,5.166299559471366e-05,1.651257532192803e-07,455.0,60.0,0.0,56348.0,60.0,0.0,56348.0,60.0,0.0,56351.0,60.0005323774201,0.0053235852471583,0.023455,5.166299559471366e-05,1.651257532192803e-07,455.0,60.0,0.0,56348.0,60.0,0.0,56348.0,60.0,0.0,56351.0,60.0005323774201,0.0053235852471583,0.023455,5.166299559471366e-05,1.651257532192803e-07,0.0,48775.0,26.0,26.0,60.0,0.0,60.0,360.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,0.0,1.0,3.0,DDoS-UDP_Flood11.csv,1.0
972,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.51.100.129,192.168.137.175,443,51134,2337.30544,1e-06,3,1,0,232,66,708864,0.0,-1,0,-1,0,none,0,none,none,0,none,none,,0,0.0,0,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear,0.0,TCP,none,0.0,none,-1.0,-1.0,-1.0,1e-06,49.0,956.1224489795918,1700145.5263605493,28.0,66.0,0.0,28.0,66.0,0.0,49.0,956.1224489795918,1700145.5263605493,1.0176109999999998,0.0207675714285714,0.0050546400079953,329.0,984.5015197568388,1520469.275150119,165.0,66.0,0.0,165.0,66.0,0.0,329.0,984.5015197568388,1520469.275150119,5.20203,0.015811641337386,0.0037463265032441,661.0,983.232980332829,1780975.612304595,338.0,66.0,0.0,338.0,66.0,0.0,661.0,983.232980332829,1780975.612304595,10.037081,0.0151846913767019,0.00342383753176,1462.0,1068.6935704514365,1940667.0874192773,696.0,71.04022988505747,7230.720681385925,696.0,71.04022988505747,7230.720681385925,1462.0,1068.6935704514365,1940667.0874192773,1825.755033,1.248806452120383,2237.474118297444,1462.0,1068.6935704514365,1940667.0874192773,696.0,71.04022988505747,7230.720681385925,696.0,71.04022988505747,7230.720681385925,1462.0,1068.6935704514365,1940667.0874192773,1825.755033,1.248806452120383,2237.474118297444,0.0,443.0,32.0,32.0,66.0,2410594.260526316,66.0,18101.0,12.0,5804.0,12.0,905.05,2410594.260526316,1460.0,12.0,1448.0,90.0,0.0,BenignTraffic3.csv,0.0
5161,Wyze Camera,dc:a6:32:dc:27:d5,192.168.137.49,192.168.137.35,7937,51305,108.984566,0.005081,3,1,0,64,60,0,0.0,-1,0,-1,0,none,0,none,none,0,none,none,,0,0.0,0,Wyze Camera,Wyze Labs Inc,Raspberry Pi Trading Ltd,0.0,TCP,none,0.0,none,-1.0,-1.0,-1.0,,1.0,60.0,,3.0,60.0,0.0,3.0,60.0,0.0,5.0,60.0,0.0,,,,1.0,60.0,,11.0,60.54545454545455,3.2727272726464007,11.0,60.54545454545455,3.2727272726464007,19.0,60.0,0.0,,,,1.0,60.0,,53.0,151.75471698113208,139144.1117561683,53.0,151.75471698113208,139144.1117561683,50.0,60.0,0.0,,,,1.0,60.0,,119.0,120.08403361344538,67888.00982765987,119.0,120.08403361344538,67888.00982765987,86.0,60.0,0.0,,,,1.0,60.0,,153.0,108.59477124183006,53205.65049879601,153.0,108.59477124183006,53205.65049879601,100.0,60.0,0.0,,,,0.0,51305.0,26.0,26.0,60.0,120.05,60.0,181.0,6.0,67.0,6.0,9.05,186.05,6.0,6.0,0.0,102.0,1.0,Recon-HostDiscovery.csv,1.0
53,Amazon Echo Dot 2,Amazon Echo Show,192.168.137.58,192.168.137.172,55444,55444,2262.024515,0.00065,3,0,1,64,60,0,2.940676218814983,-1,0,-1,0,none,0,none,none,0,none,none,,0,0.0,0,Amazon Echo Dot 2,Amazon Technologies Inc.,Amazon Technologies Inc.,8.0,UDP,none,0.0,none,-1.0,-1.0,-1.0,0.021693,24.0,60.0,0.0,13.0,60.0,0.0,13.0,60.0,0.0,24.0,60.0,0.0,14.528117,0.6053382083333333,8.184288773985651,24.0,60.0,0.0,17.0,95.6470588235294,4395.492647058823,17.0,95.6470588235294,4395.492647058823,29.0,96.06896551724138,19381.066502463047,14.528117,0.6053382083333333,8.184288773985651,24.0,60.0,0.0,17.0,95.6470588235294,4395.492647058823,17.0,95.6470588235294,4395.492647058823,29.0,96.06896551724138,19381.06650246304,14.528117,0.6053382083333333,8.184288773985651,102.0,70.25490196078431,5640.310619297236,63.0,91.63492063492065,3834.1065028161393,63.0,91.63492063492065,3834.1065028161393,112.0,88.01785714285714,14894.360038610008,30.014738,0.2942621372549019,2.811506852472675,207.0,70.10628019323671,5532.299329299754,125.0,90.488,3712.606709677496,125.0,90.488,3712.606709677496,227.0,87.64757709251101,14641.025691006287,60.017172,0.2899380289855072,2.758681763038432,0.0,55444.0,26.0,26.0,60.0,5083.207894736843,60.0,1179.0,0.0,163.0,18.0,58.95,4406.786842105264,152.0,18.0,134.0,13.0,0.0,BenignTraffic3.csv,0.0
